包厢开台分析2025-12-01 10:00:00至2025-12-03 10:00:00(空境·派对KTV（万象城店）),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包厢名称,包厢类型,区域名称,开台单号,开房计费模式,开房时间,关房时间,清洁时间,营业日,订房人,订房人部门,返房人,轮房人,商秘/外联,消费时长,时段,开房标签,预订渠道,账单备注,账单合计,应收金额,实收金额,赠送,抹零金额,调整金额,挂账金额,免单金额,房费折扣金额,酒水折扣金额,基本业绩,低消费,低消差额,计入低消金额,不计入低消金额,特饮金额,销售经理,营销经理,支付方式,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,微信支付,支付宝,会员支付,会员本金,会员赠送,现金,银行卡,服务员收款,员工信用扣款,付呗,店长签单,演绎提成,营销提成,过期取酒,美团,抖音,招待,扫码,会员停用,三倍储值活动,定金消费,高德
K02,电音中包,KTV区,Z-KT25120100033,3H团购套餐,2025-12-01 21:06:54,2025-12-02 04:33:57,2025-12-02 00:38:24,2025-12-01,,,,,,447,黄金档,,,,795,795,795,132,0,0,0,0,0,0,496,0,0,299,0,0,,,,396,,,,0,,,,,,,,,,399,,,,,,
K15,电音中包,KTV区,Z-KT25120100034,520生日套餐,2025-12-01 21:08:36,2025-12-02 04:34:16,2025-12-02 01:40:35,2025-12-01,,,,,,445,黄金档,,,,520,520,520,38,0,0,0,0,0,0,0,0,0,520,0,0,,,,,,,,0,,,,,,,,,,520,,,,,,
K05,电音中包,KTV区,Z-KT25120100031,买一送一(18:00-04:00),2025-12-01 20:40:35,2025-12-01 22:46:22,2025-12-01 22:39:20,2025-12-01,,,,,,125,黄金档,,,,303,303,0,0,0,0,0,0,0,0,0,0,0,30,0,0,,,,,303,303,0,,,,,,,,,,,,,,,,,
K06,电音中包,KTV区,Z-KT25120100030,线上黄金档3H纯唱（18:00—04:30）,2025-12-01 20:14:51,2025-12-01 23:41:45,,2025-12-01,,,,,,206,黄金档,,,,268,268,268,8,0,0,0,0,0,0,268,0,0,0,0,0,,,48,,,,,0,,,,220,,,,,,,,,,,,
K07,电音中包,KTV区,Z-KT25120100029,线上黄金档3H纯唱（18:00—04:30）,2025-12-01 20:11:20,2025-12-01 23:08:15,,2025-12-01,,,,,,176,黄金档,,,,199,199,199,0,0,0,0,0,0,0,199,0,0,0,0,0,,,16,,,,,,,,,,,,,,183,,,,,,,
K08,电音中包,KTV区,Z-KT25120100028,线上黄金档3H纯唱（18:00—04:30）,2025-12-01 19:44:24,2025-12-01 23:08:13,2025-12-01 22:47:27,2025-12-01,,,,,,203,黄金档,,,,213,213,213,0,0,0,0,0,0,0,213,0,0,30,0,0,,,,,,,,,,,,,,,,,213,,,,,,,
K11,电音小包,KTV区,Z-KT25120100026,线上黄金档3H纯唱（18:00—04:30）,2025-12-01 19:32:54,2025-12-01 22:23:04,,2025-12-01,,,,,,170,黄金档,,,,183,183,183,0,0,0,0,0,0,0,183,0,0,0,0,0,,,,,,,,,,,,,,,,,183,,,,,,,
K17,电音小包,KTV区,Z-KT25120100027,买一送一(18:00-04:00),2025-12-01 19:35:08,2025-12-02 04:34:23,2025-12-01 23:48:22,2025-12-01,,,,,,539,黄金档,,,,238,238,0,38,0,0,0,0,0,0,0,0,0,20,0,0,,,,,238,205.8,32.2,0,,,,,,,,,,,,,,,,
K09,电音中包,KTV区,Z-KT25120100024,,2025-12-01 19:24:16,2025-12-02 11:04:29,2025-12-02 00:55:22,2025-12-01,,,,,,940,黄金档,,,,37,37,0,111,0,0,0,0,0,0,0,0,0,0,0,0,,,,,37,37,0,0,,,,,,,,,,,,,,,,
K20,电音小包,KTV区,Z-KT25120100023,线上黄金档3H茶水套餐（18:00—04:00）,2025-12-01 19:22:22,2025-12-01 21:05:55,2025-12-01 21:05:51,2025-12-01,,,,,,103,黄金档,,,,209,209,209,0,0,0,0,0,0,0,161,0,0,48,0,0,,,,,,,,,,209,,,,,,,,,,,,,,
